Industry_NAICS6_Make,Industry_NAICS6_Make_desc,Industry_NAICS6_CBP,Industry_NAICS6_CBP_desc,Commodity_SCTG,Commodity_SCTG_desc,Proportion
325130,Synthetic dye and pigment manufacturing,325132,Synthetic Organic Dye and Pigment Manufacturing,20,Basic chemicals,1
325180,Other basic inorganic chemical manufacturing,325181,Alkalies and Chlorine Manufacturing,20,Basic chemicals,1
325180,Other basic inorganic chemical manufacturing,325182,Carbon Black Manufacturing,20,Basic chemicals,1
325180,Other basic inorganic chemical manufacturing,325188,All Other Basic Inorganic Chemical Manufacturing,20,Basic chemicals,1
325190,Other basic organic chemical manufacturing,325192,Cyclic Crude and Intermediate Manufacturing,20,Basic chemicals,0.5
325190,Other basic organic chemical manufacturing,325193,Ethyl Alcohol Manufacturing,20,Basic chemicals,0.5
325190,Other basic organic chemical manufacturing,325199,All Other Basic Organic Chemical Manufacturing,20,Basic chemicals,0.5
325190,Other basic organic chemical manufacturing,325191,Gum and Wood Chemical Manufacturing,23,Chemical prods.,0.5
325211,Plastics material and resin manufacturing,325211,Plastics Material and Resin Manufacturing,24,Plastics/rubber,1
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325212,Synthetic Rubber Manufacturing,24,Plastics/rubber,0.5
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325222,Noncellulosic Organic Fiber Manufacturing,24,Plastics/rubber,0.5
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325221,Cellulosic Organic Fiber Manufacturing,30,Textiles/leather,0.5
325310,Fertilizer manufacturing,325312,Phosphatic Fertilizer Manufacturing,20,Basic chemicals,0.5
325310,Fertilizer manufacturing,325311,Nitrogenous Fertilizer Manufacturing,22,Fertilizers,0.5
325310,Fertilizer manufacturing,325314,Fertilizer (Mixing Only) Manufacturing,22,Fertilizers,0.5
325320,Pesticide and other agricultural chemical manufacturing,325320,Pesticide and Other Agricultural Chemical Manufacturing,20,Basic chemicals,1
325411,Medicinal and botanical manufacturing,325411,Medicinal and Botanical Manufacturing,20,Basic chemicals,1
325412,Pharmaceutical preparation manufacturing,325412,Pharmaceutical Preparation Manufacturing,23,Chemical prods.,1
325413,In-vitro diagnostic substance manufacturing,325413,In-Vitro Diagnostic Substance Manufacturing,21,Pharmaceuticals,1
325414,Biological product (except diagnostic) manufacturing,325414,Biological Product (except Diagnostic) Manufacturing,21,Pharmaceuticals,1
325510,Paint and coating manufacturing,325510,Paint and Coating Manufacturing,23,Chemical prods.,1
325520,Adhesive manufacturing,325520,Adhesive Manufacturing,23,Chemical prods.,1
325610,Soap and cleaning compound manufacturing,325613,Surface Active Agent Manufacturing,7,Other foodstuffs,0.333333333
325610,Soap and cleaning compound manufacturing,325611,Soap and Other Detergent Manufacturing,20,Basic chemicals,0.333333333
325610,Soap and cleaning compound manufacturing,325612,Polish and Other Sanitation Good Manufacturing,23,Chemical prods.,0.333333333
325620,Toilet preparation manufacturing,325620,Toilet Preparation Manufacturing,23,Chemical prods.,1
325910,Printing ink manufacturing,325910,Printing Ink Manufacturing,23,Chemical prods.,1
3259A0,All other chemical product and preparation manufacturing,325920,Explosives Manufacturing,23,Chemical prods.,1
3259A0,All other chemical product and preparation manufacturing,325991,Custom Compounding of Purchased Resins,23,Chemical prods.,1
3259A0,All other chemical product and preparation manufacturing,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",23,Chemical prods.,1
3259A0,All other chemical product and preparation manufacturing,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,23,Chemical prods.,1
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,326111,Plastics Bag and Pouch Manufacturing,24,Plastics/rubber,1
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,24,Plastics/rubber,1
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,24,Plastics/rubber,1
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326121,Unlaminated Plastics Profile Shape Manufacturing,24,Plastics/rubber,1
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326122,Plastics Pipe and Pipe Fitting Manufacturing,24,Plastics/rubber,1
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",24,Plastics/rubber,1
326140,Polystyrene foam product manufacturing,326140,Polystyrene Foam Product Manufacturing,24,Plastics/rubber,1
326150,Urethane and other foam product (except polystyrene) manufacturing,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,24,Plastics/rubber,1
326160,Plastics bottle manufacturing,326160,Plastics Bottle Manufacturing,24,Plastics/rubber,1
326190,Other plastics product manufacturing,326191,Plastics Plumbing Fixture Manufacturing,24,Plastics/rubber,1
326190,Other plastics product manufacturing,326192,Resilient Floor Covering Manufacturing,24,Plastics/rubber,1
326190,Other plastics product manufacturing,326199,All Other Plastics Product Manufacturing,24,Plastics/rubber,1
326210,Tire manufacturing,326211,Tire Manufacturing (except Retreading),24,Plastics/rubber,1
326210,Tire manufacturing,326212,Tire Retreading,24,Plastics/rubber,1
326220,Rubber and plastics hoses and belting manufacturing,326220,Rubber and Plastics Hoses and Belting Manufacturing,24,Plastics/rubber,1
326290,Other rubber product manufacturing,326291,Rubber Product Manufacturing for Mechanical Use,24,Plastics/rubber,1
326290,Other rubber product manufacturing,326299,All Other Rubber Product Manufacturing,24,Plastics/rubber,1
327100,Clay product and refractory manufacturing,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing,31,Nonmetal min. prods.,0.5
327100,Clay product and refractory manufacturing,327121,Brick and Structural Clay Tile Manufacturing,31,Nonmetal min. prods.,0.5
327100,Clay product and refractory manufacturing,327122,Ceramic Wall and Floor Tile Manufacturing,31,Nonmetal min. prods.,0.5
327100,Clay product and refractory manufacturing,327123,Other Structural Clay Product Manufacturing,31,Nonmetal min. prods.,0.5
327100,Clay product and refractory manufacturing,327124,Clay Refractory Manufacturing,31,Nonmetal min. prods.,0.5
327100,Clay product and refractory manufacturing,327125,Nonclay Refractory Manufacturing,31,Nonmetal min. prods.,0.5
327100,Clay product and refractory manufacturing,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing",35,Electronics,0.5
327100,Clay product and refractory manufacturing,327113,Porcelain Electrical Supply Manufacturing,35,Electronics,0.5
327200,Glass and glass product manufacturing,327211,Flat Glass Manufacturing,31,Nonmetal min. prods.,0.5
327200,Glass and glass product manufacturing,327213,Glass Container Manufacturing,31,Nonmetal min. prods.,0.5
327200,Glass and glass product manufacturing,327215,Glass Product Manufacturing Made of Purchased Glass,31,Nonmetal min. prods.,0.5
327200,Glass and glass product manufacturing,327212,Other Pressed and Blown Glass and Glassware Manufacturing,39,Furniture,0.5
327310,Cement manufacturing,327310,Cement Manufacturing,31,Nonmetal min. prods.,1
327320,Ready-mix concrete manufacturing,327320,Ready-Mix Concrete Manufacturing,23,Chemical prods.,1
327330,"Concrete pipe, brick, and block manufacturing",327331,Concrete Block and Brick Manufacturing,31,Nonmetal min. prods.,1
327330,"Concrete pipe, brick, and block manufacturing",327332,Concrete Pipe Manufacturing,31,Nonmetal min. prods.,1
327390,Other concrete product manufacturing,327390,Other Concrete Product Manufacturing,31,Nonmetal min. prods.,1
327400,Lime and gypsum product manufacturing,327410,Lime Manufacturing,13,Nonmetallic minerals,0.5
327400,Lime and gypsum product manufacturing,327420,Gypsum Product Manufacturing,31,Nonmetal min. prods.,0.5
327910,Abrasive product manufacturing,327910,Abrasive Product Manufacturing,20,Basic chemicals,1
327991,Cut stone and stone product manufacturing,327991,Cut Stone and Stone Product Manufacturing,31,Nonmetal min. prods.,1
327992,Ground or treated mineral and earth manufacturing,327992,Ground or Treated Mineral and Earth Manufacturing,31,Nonmetal min. prods.,1
327993,Mineral wool manufacturing,327993,Mineral Wool Manufacturing,31,Nonmetal min. prods.,1
327999,Miscellaneous nonmetallic mineral products,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,31,Nonmetal min. prods.,1
331110,Iron and steel mills and ferroalloy manufacturing,331111,Iron and Steel Mills,32,Base metals,1
331110,Iron and steel mills and ferroalloy manufacturing,331112,Electrometallurgical Ferroalloy Product Manufacturing,32,Base metals,1
331200,Steel product manufacturing from purchased steel,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,32,Base metals,0.5
331200,Steel product manufacturing from purchased steel,331221,Rolled Steel Shape Manufacturing,32,Base metals,0.5
331200,Steel product manufacturing from purchased steel,331222,Steel Wire Drawing,33,Articles-base metal,0.5
331314,NA,331314,Secondary Smelting and Alloying of Aluminum,32,Base metals,1
33131A,Alumina refining and primary aluminum production,331311,Alumina Refining,32,Base metals,1
33131A,Alumina refining and primary aluminum production,331312,Primary Aluminum Production,32,Base metals,1
33131B,Aluminum product manufacturing from purchased aluminum,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",32,Base metals,0.5
33131B,Aluminum product manufacturing from purchased aluminum,331319,Other Aluminum Rolling and Drawing,32,Base metals,0.5
33131B,Aluminum product manufacturing from purchased aluminum,331316,Aluminum Extruded Product Manufacturing,33,Articles-base metal,0.5
331411,Primary smelting and refining of copper,331411,Primary Smelting and Refining of Copper,32,Base metals,1
331419,Primary smelting and refining of nonferrous metal (except copper and aluminum),331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),32,Base metals,1
331420,"Copper rolling, drawing, extruding and alloying",331422,Copper Wire (except Mechanical) Drawing,32,Base metals,0.5
331420,"Copper rolling, drawing, extruding and alloying",331423,"Secondary Smelting, Refining, and Alloying of Copper",32,Base metals,0.5
331420,"Copper rolling, drawing, extruding and alloying",331421,"Copper Rolling, Drawing, and Extruding",33,Articles-base metal,0.5
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",32,Base metals,1
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",32,Base metals,1
331510,Ferrous metal foundries,331512,Steel Investment Foundries,32,Base metals,0.5
331510,Ferrous metal foundries,331513,Steel Foundries (except Investment),32,Base metals,0.5
331510,Ferrous metal foundries,331511,Iron Foundries,33,Articles-base metal,0.5
331520,Nonferrous metal foundries,331521,Aluminum Die-Casting Foundries,32,Base metals,0.5
331520,Nonferrous metal foundries,331522,Nonferrous (except Aluminum) Die-Casting Foundries,32,Base metals,0.5
331520,Nonferrous metal foundries,331525,Copper Foundries (except Die-Casting),32,Base metals,0.5
331520,Nonferrous metal foundries,331528,Other Nonferrous Foundries (except Die-Casting),32,Base metals,0.5
331520,Nonferrous metal foundries,331524,Aluminum Foundries (except Die-Casting),33,Articles-base metal,0.5
332114,Custom roll forming,332114,Custom Roll Forming,33,Articles-base metal,1
33211A,"All other forging, stamping, and sintering",332111,Iron and Steel Forging,33,Articles-base metal,1
33211A,"All other forging, stamping, and sintering",332112,Nonferrous Forging,33,Articles-base metal,1
33211A,"All other forging, stamping, and sintering",332117,Powder Metallurgy Part Manufacturing,33,Articles-base metal,1
33211B,Crown and closure manufacturing and metal stamping,332115,Crown and Closure Manufacturing,33,Articles-base metal,1
33211B,Crown and closure manufacturing and metal stamping,332116,Metal Stamping,33,Articles-base metal,1
332200,Cutlery and handtool manufacturing,332211,Cutlery and Flatware (except Precious) Manufacturing,33,Articles-base metal,0.333333333
332200,Cutlery and handtool manufacturing,332213,Saw Blade and Handsaw Manufacturing,33,Articles-base metal,0.333333333
332200,Cutlery and handtool manufacturing,332212,Hand and Edge Tool Manufacturing,34,Machinery,0.333333333
332200,Cutlery and handtool manufacturing,332214,"Kitchen Utensil, Pot, and Pan Manufacturing",40,Misc. mfg. prods.,0.333333333
332310,Plate work and fabricated structural product manufacturing,332312,Fabricated Structural Metal Manufacturing,33,Articles-base metal,0.333333333
332310,Plate work and fabricated structural product manufacturing,332313,Plate Work Manufacturing,37,Transport equip.,0.333333333
332310,Plate work and fabricated structural product manufacturing,332311,Prefabricated Metal Building and Component Manufacturing,40,Misc. mfg. prods.,0.333333333
332320,Ornamental and architectural metal products manufacturing,332321,Metal Window and Door Manufacturing,33,Articles-base metal,1
332320,Ornamental and architectural metal products manufacturing,332322,Sheet Metal Work Manufacturing,33,Articles-base metal,1
332320,Ornamental and architectural metal products manufacturing,332323,Ornamental and Architectural Metal Work Manufacturing,33,Articles-base metal,1
332410,Power boiler and heat exchanger manufacturing,332410,Power Boiler and Heat Exchanger Manufacturing,34,Machinery,1
332420,Metal tank (heavy gauge) manufacturing,332420,Metal Tank (Heavy Gauge) Manufacturing,33,Articles-base metal,1
332430,"Metal can, box, and other metal container (light gauge) manufacturing",332431,Metal Can Manufacturing,33,Articles-base metal,0.5
332430,"Metal can, box, and other metal container (light gauge) manufacturing",332439,Other Metal Container Manufacturing,34,Machinery,0.5
332500,Hardware manufacturing,332510,Hardware Manufacturing,33,Articles-base metal,1
332600,Spring and wire product manufacturing,332611,Spring (Heavy Gauge) Manufacturing,33,Articles-base metal,1
332600,Spring and wire product manufacturing,332612,Spring (Light Gauge) Manufacturing,33,Articles-base metal,1
332600,Spring and wire product manufacturing,332618,Other Fabricated Wire Product Manufacturing,33,Articles-base metal,1
332710,Machine shops,332710,Machine Shops,34,Machinery,1
332720,"Turned product and screw, nut, and bolt manufacturing",332721,Precision Turned Product Manufacturing,33,Articles-base metal,1
332720,"Turned product and screw, nut, and bolt manufacturing",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",33,Articles-base metal,1
332800,"Coating, engraving, heat treating and allied activities",332811,Metal Heat Treating,33,Articles-base metal,1
332800,"Coating, engraving, heat treating and allied activities",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",33,Articles-base metal,1
332800,"Coating, engraving, heat treating and allied activities",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",33,Articles-base metal,1
332913,Plumbing fixture fitting and trim manufacturing,332913,Plumbing Fixture Fitting and Trim Manufacturing,33,Articles-base metal,1
33291A,Valve and fittings other than plumbing,332911,Industrial Valve Manufacturing,33,Articles-base metal,0.5
33291A,Valve and fittings other than plumbing,332919,Other Metal Valve and Pipe Fitting Manufacturing,33,Articles-base metal,0.5
33291A,Valve and fittings other than plumbing,332912,Fluid Power Valve and Hose Fitting Manufacturing,37,Transport equip.,0.5
332991,Ball and roller bearing manufacturing,332991,Ball and Roller Bearing Manufacturing,34,Machinery,1
332996,Fabricated pipe and pipe fitting manufacturing,332996,Fabricated Pipe and Pipe Fitting Manufacturing,33,Articles-base metal,1
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332993,Ammunition (except Small Arms) Manufacturing,33,Articles-base metal,0.333333333
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332994,Small Arms Manufacturing,38,Precision instruments,0.333333333
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332992,Small Arms Ammunition Manufacturing,40,Misc. mfg. prods.,0.333333333
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332995,Other Ordnance and Accessories Manufacturing,40,Misc. mfg. prods.,0.333333333
33299B,Other fabricated metal manufacturing,332998,Enameled Iron and Metal Sanitary Ware Manufacturing,33,Articles-base metal,0.5
33299B,Other fabricated metal manufacturing,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,33,Articles-base metal,0.5
33299B,Other fabricated metal manufacturing,332997,Industrial Pattern Manufacturing,34,Machinery,0.5
333111,Farm machinery and equipment manufacturing,333111,Farm Machinery and Equipment Manufacturing,34,Machinery,1
333112,Lawn and garden equipment manufacturing,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,34,Machinery,1
333120,Construction machinery manufacturing,333120,Construction Machinery Manufacturing,34,Machinery,1
333130,Mining and oil and gas field machinery manufacturing,333131,Mining Machinery and Equipment Manufacturing,34,Machinery,1
333130,Mining and oil and gas field machinery manufacturing,333132,Oil and Gas Field Machinery and Equipment Manufacturing,34,Machinery,1
333220,Plastics and rubber industry machinery manufacturing,333220,Plastics and Rubber Industry Machinery Manufacturing,34,Machinery,1
333295,Semiconductor machinery manufacturing,333295,Semiconductor Machinery Manufacturing,34,Machinery,1
33329A,Other industrial machinery manufacturing,333210,Sawmill and Woodworking Machinery Manufacturing,34,Machinery,1
33329A,Other industrial machinery manufacturing,333291,Paper Industry Machinery Manufacturing,34,Machinery,1
33329A,Other industrial machinery manufacturing,333292,Textile Machinery Manufacturing,34,Machinery,1
33329A,Other industrial machinery manufacturing,333293,Printing Machinery and Equipment Manufacturing,34,Machinery,1
33329A,Other industrial machinery manufacturing,333294,Food Product Machinery Manufacturing,34,Machinery,1
33329A,Other industrial machinery manufacturing,333298,All Other Industrial Machinery Manufacturing,34,Machinery,1
333313,Office machinery manufacturing,333313,Office Machinery Manufacturing,35,Electronics,1
333314,Optical instrument and lens manufacturing,333314,Optical Instrument and Lens Manufacturing,38,Precision instruments,1
333315,Photographic and photocopying equipment manufacturing,333315,Photographic and Photocopying Equipment Manufacturing,34,Machinery,1
33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",333311,Automatic Vending Machine Manufacturing,34,Machinery,1
33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",333312,"Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing",34,Machinery,1
33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",333319,Other Commercial and Service Industry Machinery Manufacturing,34,Machinery,1
333414,Heating equipment (except warm air furnaces) manufacturing,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,34,Machinery,1
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,34,Machinery,1
33341A,Air purification and ventilation equipment manufacturing,333411,Air Purification Equipment Manufacturing,34,Machinery,1
33341A,Air purification and ventilation equipment manufacturing,333412,Industrial and Commercial Fan and Blower Manufacturing,34,Machinery,1
333511,Industrial mold manufacturing,333511,Industrial Mold Manufacturing,34,Machinery,1
333514,"Special tool, die, jig, and fixture manufacturing",333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",34,Machinery,1
33351A,Metal cutting and forming machine tool manufacturing,333512,Machine Tool (Metal Cutting Types) Manufacturing,34,Machinery,1
33351A,Metal cutting and forming machine tool manufacturing,333513,Machine Tool (Metal Forming Types) Manufacturing,34,Machinery,1
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333515,Cutting Tool and Machine Tool Accessory Manufacturing,34,Machinery,1
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333516,Rolling Mill Machinery and Equipment Manufacturing,34,Machinery,1
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333518,Other Metalworking Machinery Manufacturing,34,Machinery,1
333611,Turbine and turbine generator set units manufacturing,333611,Turbine and Turbine Generator Set Units Manufacturing,34,Machinery,1
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",35,Electronics,1
333613,Mechanical power transmission equipment manufacturing,333613,Mechanical Power Transmission Equipment Manufacturing,34,Machinery,1
333618,Other engine equipment manufacturing,333618,Other Engine Equipment Manufacturing,34,Machinery,1
333912,Air and gas compressor manufacturing,333912,Air and Gas Compressor Manufacturing,34,Machinery,1
33391A,Pump and pumping equipment manufacturing,333913,Measuring and Dispensing Pump Manufacturing,34,Machinery,0.5
33391A,Pump and pumping equipment manufacturing,333911,Pump and Pumping Equipment Manufacturing,37,Transport equip.,0.5
333920,Material handling equipment manufacturing,333921,Elevator and Moving Stairway Manufacturing,34,Machinery,0.5
333920,Material handling equipment manufacturing,333922,Conveyor and Conveying Equipment Manufacturing,34,Machinery,0.5
333920,Material handling equipment manufacturing,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",34,Machinery,0.5
333920,Material handling equipment manufacturing,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",36,Motorized vehicles,0.5
333991,Power-driven handtool manufacturing,333991,Power-Driven Handtool Manufacturing,33,Articles-base metal,1
333993,Packaging machinery manufacturing,333993,Packaging Machinery Manufacturing,34,Machinery,1
333994,Industrial process furnace and oven manufacturing,333994,Industrial Process Furnace and Oven Manufacturing,34,Machinery,1
33399A,Other general purpose machinery manufacturing,333992,Welding and Soldering Equipment Manufacturing,33,Articles-base metal,0.5
33399A,Other general purpose machinery manufacturing,333997,Scale and Balance Manufacturing,34,Machinery,0.5
33399A,Other general purpose machinery manufacturing,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,34,Machinery,0.5
33399B,Fluid power process machinery,333995,Fluid Power Cylinder and Actuator Manufacturing,34,Machinery,1
33399B,Fluid power process machinery,333996,Fluid Power Pump and Motor Manufacturing,34,Machinery,1
334111,Electronic computer manufacturing,334111,Electronic Computer Manufacturing,35,Electronics,1
334112,Computer storage device manufacturing,334112,Computer Storage Device Manufacturing,35,Electronics,1
33411A,Computer terminals and other computer peripheral equipment manufacturing,334113,Computer Terminal Manufacturing,35,Electronics,1
33411A,Computer terminals and other computer peripheral equipment manufacturing,334119,Other Computer Peripheral Equipment Manufacturing - digital camera manufacturing,35,Electronics,1
334210,Telephone apparatus manufacturing,334210,Telephone Apparatus Manufacturing,35,Electronics,1
334220,Broadcast and wireless communications equipment,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,35,Electronics,1
334290,Other communications equipment manufacturing,334290,Other Communications Equipment Manufacturing,37,Transport equip.,1
334300,Audio and video equipment manufacturing,334310,Audio and Video Equipment Manufacturing,35,Electronics,1
334413,Semiconductor and related device manufacturing,334413,Semiconductor and Related Device Manufacturing,35,Electronics,1
334418,Printed circuit assembly (electronic assembly) manufacturing,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,35,Electronics,1
33441A,Other electronic component manufacturing,334411,Electron Tube Manufacturing,35,Electronics,1
33441A,Other electronic component manufacturing,334412,Bare Printed Circuit Board Manufacturing,35,Electronics,1
33441A,Other electronic component manufacturing,334414,Electronic Capacitor Manufacturing,35,Electronics,1
33441A,Other electronic component manufacturing,334415,Electronic Resistor Manufacturing,35,Electronics,1
33441A,Other electronic component manufacturing,334416,"Electronic Coil, Transformer, and Other Inductor Manufacturing",35,Electronics,1
33441A,Other electronic component manufacturing,334417,Electronic Connector Manufacturing,35,Electronics,1
33441A,Other electronic component manufacturing,334419,Other Electronic Component Manufacturing,35,Electronics,1
334510,Electromedical and electrotherapeutic apparatus manufacturing,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,38,Precision instruments,1
334511,"Search, detection, and navigation instruments manufacturing",334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",35,Electronics,1
334512,Automatic environmental control manufacturing,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",38,Precision instruments,1
334513,Industrial process variable instruments manufacturing,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",38,Precision instruments,1
334514,Totalizing fluid meter and counting device manufacturing,334514,Totalizing Fluid Meter and Counting Device Manufacturing,38,Precision instruments,1
334515,Electricity and signal testing instruments manufacturing,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,35,Electronics,1
334516,Analytical laboratory instrument manufacturing,334516,Analytical Laboratory Instrument Manufacturing,34,Machinery,1
334517,Irradiation apparatus manufacturing,334517,Irradiation Apparatus Manufacturing,38,Precision instruments,1
33451A,"Watch, clock, and other measuring and controlling device manufacturing",334519,Other Measuring and Controlling Device Manufacturing,35,Electronics,0.5
33451A,"Watch, clock, and other measuring and controlling device manufacturing",334518,"Watch, Clock, and Part Manufacturing",40,Misc. mfg. prods.,0.5
334610,Manufacturing and reproducing magnetic and optical media,334611,Software Reproducing,35,Electronics,1
334610,Manufacturing and reproducing magnetic and optical media,334612,"Prerecorded Compact Disc (except Software), Tape, and Record Reproducing",35,Electronics,1
334610,Manufacturing and reproducing magnetic and optical media,334613,Magnetic and Optical Recording Media Manufacturing,35,Electronics,1
335110,Electric lamp bulb and part manufacturing,335110,Electric Lamp Bulb and Part Manufacturing,35,Electronics,1
335120,Lighting fixture manufacturing,335129,Other Lighting Equipment Manufacturing,33,Articles-base metal,0.5
335120,Lighting fixture manufacturing,335121,Residential Electric Lighting Fixture Manufacturing,35,Electronics,0.5
335120,Lighting fixture manufacturing,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",35,Electronics,0.5
335210,Small electrical appliance manufacturing,335211,Electric Housewares and Household Fan Manufacturing,35,Electronics,1
335210,Small electrical appliance manufacturing,335212,Household Vacuum Cleaner Manufacturing,35,Electronics,1
335221,Household cooking appliance manufacturing,335221,Household Cooking Appliance Manufacturing,35,Electronics,1
335222,Household refrigerator and home freezer manufacturing,335222,Household Refrigerator and Home Freezer Manufacturing,34,Machinery,1
335224,Household laundry equipment manufacturing,335224,Household Laundry Equipment Manufacturing,34,Machinery,1
335228,Other major household appliance manufacturing,335228,Other Major Household Appliance Manufacturing,35,Electronics,1
335311,"Power, distribution, and specialty transformer manufacturing",335311,"Power, Distribution, and Specialty Transformer Manufacturing",35,Electronics,1
335312,Motor and generator manufacturing,335312,Motor and Generator Manufacturing,35,Electronics,1
335313,Switchgear and switchboard apparatus manufacturing,335313,Switchgear and Switchboard Apparatus Manufacturing,35,Electronics,1
335314,Relay and industrial control manufacturing,335314,Relay and Industrial Control Manufacturing,35,Electronics,1
335911,Storage battery manufacturing,335911,Storage Battery Manufacturing,35,Electronics,1
335912,Primary battery manufacturing,335912,Primary Battery Manufacturing,35,Electronics,1
335920,Communication and energy wire and cable manufacturing,335921,Fiber Optic Cable Manufacturing,35,Electronics,1
335920,Communication and energy wire and cable manufacturing,335929,Other Communication and Energy Wire Manufacturing,35,Electronics,1
335930,Wiring device manufacturing,335931,Current-Carrying Wiring Device Manufacturing,35,Electronics,1
335930,Wiring device manufacturing,335932,Noncurrent-Carrying Wiring Device Manufacturing,35,Electronics,1
335991,Carbon and graphite product manufacturing,335991,Carbon and Graphite Product Manufacturing,35,Electronics,1
335999,All other miscellaneous electrical equipment and component manufacturing,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,35,Electronics,1
336111,Automobile manufacturing,336111,Automobile Manufacturing,36,Motorized vehicles,1
336112,Light truck and utility vehicle manufacturing,336112,Light Truck and Utility Vehicle Manufacturing,36,Motorized vehicles,1
336120,Heavy duty truck manufacturing,336120,Heavy Duty Truck Manufacturing,36,Motorized vehicles,1
336211,Motor vehicle body manufacturing,336211,Motor Vehicle Body Manufacturing,34,Machinery,1
336212,Truck trailer manufacturing,336212,Truck Trailer Manufacturing,36,Motorized vehicles,1
336213,Motor home manufacturing,336213,Motor Home Manufacturing,36,Motorized vehicles,1
336214,Travel trailer and camper manufacturing,336214,Travel Trailer and Camper Manufacturing,36,Motorized vehicles,1
336310,Motor vehicle gasoline engine and engine parts manufacturing,336311,"Carburetor, Piston, Piston Ring, and Valve Manufacturing",36,Motorized vehicles,1
336310,Motor vehicle gasoline engine and engine parts manufacturing,336312,Gasoline Engine and Engine Parts Manufacturing,36,Motorized vehicles,1
336320,Motor vehicle electrical and electronic equipment manufacturing,336321,Vehicular Lighting Equipment Manufacturing,35,Electronics,1
336320,Motor vehicle electrical and electronic equipment manufacturing,336322,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing,35,Electronics,1
